Date,Open,High,Low,Close,Volume
2015-11-11,360.5,363.5,359.5,362.25,274519
2015-11-12,361.75,363.5,359.25,362.0,264486
2015-11-13,361.5,362.25,358.0,358.25,165822
2015-11-16,358.25,360.75,357.25,360.0,139156
2015-11-17,360.0,362.5,358.25,362.0,195761
2015-11-18,362.0,364.25,358.5,361.75,245397
2015-11-19,361.75,365.5,360.25,364.25,175839
2015-11-20,363.5,366.5,362.0,363.25,188672
2015-11-23,362.5,367.5,360.0,367.25,177566
2015-11-24,367.0,367.25,364.0,364.25,163371
2015-11-25,364.25,366.5,364.0,366.0,147246
2015-11-27,365.25,365.75,358.75,359.25,73101
2015-11-30,359.75,366.0,359.25,365.0,33639
2015-12-01,365.25,368.75,364.5,367.0,10597
2015-12-02,367.0,367.0,363.5,364.0,4775
2015-12-03,363.75,371.25,361.25,370.25,11682
2015-12-04,370.0,376.5,369.75,376.25,4951
2015-12-07,375.75,376.0,368.0,368.5,3397
2015-12-08,369.0,371.0,367.25,370.0,3115
2015-12-09,370.75,376.75,368.5,371.75,3550
2015-12-10,372.5,379.25,371.75,377.25,2951
2015-12-11,377.0,378.75,372.75,373.0,2061
2015-12-14,373.5,381.75,373.5,381.75,128249
2015-12-15,378.25,379.5,375.75,377.25,103753
2015-12-16,377.0,377.75,369.25,369.75,159022
2015-12-17,370.25,375.0,362.5,374.25,269285
2015-12-18,374.25,379.5,372.75,374.5,180303
2015-12-21,374.0,377.0,369.75,372.0,129720
2015-12-22,372.0,374.5,366.0,366.25,124216
2015-12-23,366.5,367.75,364.5,365.5,95523
2015-12-24,365.0,365.75,363.5,364.5,57476
2015-12-28,363.75,365.5,360.5,361.0,101006
2015-12-29,361.0,363.0,357.0,362.5,123500
2015-12-30,362.5,364.0,358.0,359.0,102103
2015-12-31,358.5,360.25,357.5,358.75,77003
2016-01-04,359.5,360.0,350.5,351.5,188747
2016-01-05,352.75,356.0,351.75,353.0,147255
2016-01-06,353.5,354.75,350.25,353.25,138855
2016-01-07,353.25,354.25,348.5,353.0,151656
2016-01-08,353.0,357.75,352.75,357.0,178645
2016-01-11,357.0,357.25,349.5,351.75,174492
2016-01-12,352.0,363.75,349.5,356.75,298175
2016-01-13,356.0,360.75,355.5,358.0,216869
2016-01-14,357.75,360.25,355.5,358.0,163853
2016-01-15,358.0,363.5,356.0,363.25,179659
2016-01-19,364.0,369.5,364.0,367.75,227108
2016-01-20,367.5,369.25,365.25,368.75,193968
2016-01-21,368.75,372.0,365.5,367.0,245065
2016-01-22,366.75,371.5,366.5,370.25,163779
2016-01-25,370.0,372.5,368.0,369.75,153213
2016-01-26,369.25,372.0,367.0,369.25,167690
2016-01-27,368.75,371.0,367.5,369.25,176387
2016-01-28,368.75,370.25,365.0,365.5,180821
